Sample	Screening_Percent_Discarded	Deduper_Percent_Discarded	Deduper_Percent_Duplicates	Sickle_Percent_Pairs_Kept	Sickle_Percent_Pairs_Split	Sickle_R1_BP_Left_Removed_Scaled	Sickle_R1_BP_Right_Removed_Scaled	Sickle_R2_BP_Left_Removed_Scaled	Sickle_R2_BP_Right_Removed_Scaled	Innie_Combined_Percent	Percent_Combined	Short_Percent_PE_Kept	Short_Percent_SE_Kept	R1_Ave_Len	R2_Ave_Len	PE_Percent_Kept	SE_Percent_Kept
SampleE03	0.042909334	0.12468863	90.13	85.4697752	14.46961925	0.02770231	2.913277547	0.304833055	1.789262259	91.68	23.06	92.00309725	95.94733048	99.08	97.44	5.964541775	3.2328113
SampleE04	0.040889524	0.107565883	90	87.08243918	12.86075783	0.024682077	2.040353429	0.215925543	1.172802772	91.44	22.3	93.40027739	96.48717796	99.44	98.02	6.31261684	3.111507442
SampleE05	0.027230228	0.082303706	79.69	92.49606791	7.478984269	0.016268814	1.334164842	0.139783133	0.881419324	90.55	16.95	95.8800956	96.74429659	99.59	98.57	14.94416003	4.544570161
SampleE06	0.05433058	0.078217465	76.84	89.46126492	10.49256229	0.022328263	1.990107775	0.184691158	1.192923113	90.07	13.89	94.37814388	95.5608856	99.45	98.05	16.82009661	5.065618367
SampleE07	0.067179114	0.08903863	78.49	92.11993442	7.841231644	0.019254009	1.644401474	0.136530762	1.044742223	91.39	19.06	95.48925748	96.3333755	99.53	98.47	15.28850146	5.253549475
SampleE08	0.111416732	0.079394154	78.26	92.23192334	7.728600629	0.018332529	1.494838368	0.127599945	0.896137574	90.86	18.91	95.72915866	96.38555492	99.6	98.57	15.53477548	5.263146515
SampleE09	0.059114715	0.067977252	76.14	88.65706039	11.28881853	0.024181936	2.106994116	0.190327295	1.202892371	90.03	13.78	94.00846353	95.35235942	99.45	97.91	17.12237538	5.339501789
SampleE10	0.045414982	0.117376086	93.84	81.34852727	18.56224185	0.032976345	2.8196581	0.328092457	1.492712209	90.41	26.73	90.2523962	96.21249659	99.25	97.24	3.308778092	2.385684371
SampleE11	0.068144915	0.054786646	74.32	90.824464	9.130313205	0.020680407	1.797461292	0.142326467	1.058053024	90.25	16.53	94.91711881	95.80826752	99.52	98.25	18.45354016	5.930742809
SampleE12	0.047241914	0.084944912	80.26	90.43737845	9.516924156	0.021236749	1.725220751	0.15696293	1.009777921	92.97	13.56	95.27677703	96.10363179	99.52	98.38	14.68428743	4.127204968
SampleF01	0.045371488	0.114304905	93.13	80.89669187	19.0186693	0.033589524	3.043868276	0.335889144	1.602867929	91.2	21.65	90.45867291	95.5215663	99.19	97.23	3.934576877	2.394485353
SampleF02	0.069195813	0.09057882	84.59	86.87251422	13.06168156	0.024772264	2.402607431	0.223068241	1.32515921	91.03	15.93	93.55349345	95.28756015	99.38	97.93	10.51331727	3.944026827
SampleF03	0.057338009	0.103987406	92.75	81.22311986	18.68042909	0.033885431	2.992061651	0.30457491	1.510210491	90.36	17.61	90.74922919	94.92502571	99.28	97.32	4.396616064	2.266454812
SampleF04	0.127243743	0.082817809	77.4	91.34219024	8.61557092	0.020023081	1.763867827	0.146387808	1.061068144	91.53	16.17	95.13689666	95.91266134	99.52	98.31	16.42971477	5.059728271
SampleF05	0.045926362	0.077816009	83.5	90.19007693	9.762174525	0.020333778	1.718779971	0.158404528	0.98071991	91.27	18.22	95.08199068	96.17598202	99.55	98.44	11.5597906	4.152500582
SampleF06	0.214061698	0.071929069	80.73	89.97862161	9.970673826	0.021155367	1.87153274	0.159478989	1.072766357	90.83	17.38	94.67914813	95.89537632	99.51	98.33	13.52346864	4.717886599
SampleF07	0.074556047	0.07776163	81.95	89.40530026	10.54542225	0.022591031	2.056695899	0.180025324	1.194855052	90.3	18.25	94.43718514	95.70649935	99.45	98.19	12.43610483	4.632205189
SampleF08	0.072552414	0.10501578	86.88	88.26025004	11.68103839	0.023359977	2.012273787	0.196263298	1.121743383	90.08	17.7	94.11269503	95.67640044	99.49	98.18	8.950866595	3.41979496
SampleF09	0.065387435	0.064554747	78.66	89.73270749	10.21618959	0.021088352	1.865994891	0.15800279	1.065567691	90.33	15.94	94.71083465	95.74035517	99.52	98.24	15.22748594	5.003217565
SampleF10	0.047610116	0.136358341	94.49	77.71339628	22.17211808	0.040710685	3.614372297	0.391273668	1.879532297	89.71	16.7	88.5364178	94.40619959	99.07	96.66	3.150026744	1.824057974
SampleF11	0.065316597	0.07362487	78.9	90.14319077	9.809072998	0.021261948	1.844846604	0.161011363	1.052731675	90.58	14.93	94.94530069	95.60148131	99.52	98.31	15.34312542	4.686522475
SampleF12	0.061307976	0.096454441	86.86	86.49765006	13.4364431	0.025688245	2.246884627	0.225321123	1.191018726	89.8	16.07	93.58939358	95.42395848	99.45	98.04	8.915260889	3.42317505
SampleG01	0.067091422	0.066547343	73.74	89.88062943	10.07729548	0.024395662	2.073907576	0.204918251	1.303963416	91.54	14.32	94.43069687	95.86428209	99.37	97.97	19.07060836	5.76980397
SampleG02	0.104026803	0.06525794	58.1	94.07918998	5.892874706	0.018506852	1.338065086	0.117495952	0.924231352	89.94	12.18	95.74620574	95.86091961	99.6	98.26	33.08915915	6.955582157
SampleG03	0.043706605	0.06266277	73.31	91.10020906	8.859592814	0.021527346	1.70182614	0.164329539	1.045537263	90.79	14.2	95.13365478	95.91193445	99.51	98.22	19.82720847	5.574303539
SampleG04	0.069009463	0.073259608	75.15	89.20396234	10.75017947	0.025205453	2.319478155	0.226165393	1.48338019	91.38	14.55	93.96036492	95.68412525	99.28	97.8	17.77419026	5.633394635
SampleG05	0.099563896	0.05602021	80.09	87.29518394	12.6430332	0.025832304	2.163843146	0.207915448	1.142239279	90.11	14.07	93.90976345	95.24616383	99.46	98.02	14.00172422	4.717866715
SampleG06	0.072974835	0.062431144	75.63	90.66567508	9.289769062	0.021620021	1.75288745	0.16126274	1.035813894	91.2	15.61	95.04465772	95.94315944	99.52	98.27	17.6954926	5.472572679
SampleG07	0.094400835	0.080684642	74.01	91.04435093	8.913404709	0.020805369	1.792118821	0.169752258	1.10877508	90.14	16	94.87286718	95.89069967	99.49	98.16	18.82278816	5.842404236
SampleG08	0.081760096	0.067887423	68.52	91.64825187	8.31174456	0.02161262	1.696705772	0.149431813	1.053381267	90.79	14	94.94910064	95.77239183	99.52	98.1	23.52519092	6.364139726
SampleG09	0.062513543	0.081570493	76.31	91.67139498	8.287218969	0.021536538	1.715514371	0.152366446	1.067084829	91.58	15.78	95.23958346	96.01624832	99.51	98.36	17.39597442	5.168603583
SampleG10	0.053657443	0.05431141	73.17	88.20466549	11.74413424	0.028217976	2.486917999	0.235238358	1.546130386	90.69	15.22	93.42867086	95.63176304	99.23	97.59	18.72464328	6.450495984
SampleG11	0.062783198	0.080625806	71.49	93.36215645	6.604656252	0.017693093	1.399834151	0.117836025	0.904313077	91.79	15.98	95.99976995	96.3056806	99.59	98.53	21.43889752	5.901329089
SampleG12	0.078924074	0.062909641	71.28	90.56221898	9.395160572	0.022892694	1.876249295	0.174539285	1.149272498	90.78	13.75	94.67983023	95.71249364	99.47	98.09	21.21137669	5.99861598
SampleH01	0.118995139	0.080960255	75.41	92.66517287	7.298397544	0.019171144	1.474701426	0.129311846	0.936095183	91.93	17.23	95.73808627	96.46066572	99.57	98.54	18.02196649	5.507825368
SampleH02	0.051888056	0.091271772	82.32	88.23482563	11.71472109	0.02264892	2.176396077	0.226469978	1.288463827	91.36	16.88	93.95181328	95.94133431	99.4	97.97	12.16858519	4.507843011
SampleH03	0.056868826	0.059328619	74.19	90.11166623	9.84347094	0.022856126	2.012682017	0.184980248	1.247955434	91.41	17.4	94.48169268	96.13224232	99.41	98.04	18.12891804	6.323998972
